51,84
96,71
27,16
22,72
77,-19
4,-8
6,-83
69,82
91,-27
94,48
23,51
86,-75
77,-55
39,54
46,94
77,-65
98,4
65,22
37,34
75,-5
27,59
65,66
70,74
13,69
44,40
95,-81
76,-77
91,36
46,-98
30,-3
33,-67
74,-4
33,5
38,-26
15,95
27,20
17,84
9,-19
71,97
39,6
1,77
70,74
17,75
69,59
16,23
45,27
50,66
18,-95
9,-46
3,19
37,-47
3,-14
18,57
41,-44
85,28
36,-33
52,80
68,-89
39,18
52,-27
72,-93
60,60
14,-18
65,4
88,-85
13,49
82,-74
90,-88
14,-74
9,-72
40,58
22,-78
26,-29
45,76
11,-94
19,65
2,-34
35,20
4,-45
61,-73
34,44
80,57
55,-12
20,72
14,-72
10,8
76,42
65,72
14,76
72,-36
88,-3
6,-28
44,-11
37,12
53,-97
11,-31
77,-52
39,76
90,-67
52,84
